"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"NMRK2",24.9751482857143,84.7797409285714,2.48516133528626,0.0263820739691783,0.176790219816448,-4.37978677094545
"GSN",38.9537753564943,107.368274876211,2.47465144557286,0.026920286444838,0.177630081063689,-4.38145019714746
"MT-ATP6",-2578.62618363892,15467.0350084616,-2.46782363317171,0.0272755571798249,0.177630081063689,-4.38253151534631
"MT-TV",-79.9232134958664,167.550037456444,-2.46504433913604,0.0274214533374477,0.177630081063689,-4.38297181742521
"MT-TS2",-70.7732704945903,162.820252422953,-2.44841565589811,0.0283100771778471,0.181371153787746,-4.38560788563551
"S100A4",-114.876668563508,71.0378646028514,-2.42740382585448,0.0294723330545053,0.186764893160615,-4.38894279004137
"WI2-1896O14.1",95.3378392857143,107.353445285714,2.41496887111845,0.0301814676471545,0.188863930065366,-4.39091837671645
"ENO3",-469.908205613081,3124.79384361738,-2.40744741878528,0.0306182613831976,0.188863930065366,-4.39211400611297
"HFE2",-13.7565029285714,153.84721725,-2.40476608275718,0.0307754259969293,0.188863930065366,-4.39254035592812
"NDUFS7",14.5188531115654,91.4885514423707,2.39907919812573,0.0311113053442968,0.188936364747136,-4.39344480718931
"SYPL2",-14.262818,117.969129571429,-2.37960701316376,0.0322879935211851,0.1940608270397,-4.396543657998
"HHATL",29.2141572672849,121.596110033626,2.35127356581449,0.0340759467388372,0.202717111721858,-4.40105763917082
"MT-TL2",-84.7520448486183,190.900781496394,-2.29561961956237,0.0378645796286347,0.222980302257515,-4.40993779069214
"TPI1",-87.713568380773,458.661482526565,-2.25819050644481,0.0406325900299248,0.235002964903425,-4.41591698486256
"PKM",-71.908462949712,603.791887553329,-2.24622946497918,0.0415565714891171,0.235002964903425,-4.4178284421262
"SLN",-257.174011357143,2419.40376925,-2.24317297094332,0.0417958310188537,0.235002964903425,-4.41831692781057
"NDUFS2",18.8993435690734,120.655491864756,2.24095918542857,0.0419699313713266,0.235002964903425,-4.41867074045671
"YWHAG",10.6534712593642,83.4393780569172,2.23821129725467,0.0421869828343408,0.235002964903425,-4.41910992290078
"FTL",1044.72191774129,1712.77197824824,2.23647441935127,0.0423247192364659,0.235002964903425,-4.41938752444881
"CTSD",19.8614250000855,80.9506701050345,2.21954228735507,0.0436897413676507,0.235134243633278,-4.42209387059043
"MEF2C",-14.1117950657953,92.0156468725369,-2.21804875686253,0.0438121060187659,0.235134243633278,-4.42233259483382
"YPEL3",-19.662933446309,98.9672982006023,-2.21718533565059,0.0438829923508337,0.235134243633278,-4.42247060323374
"RPL7A",-72.4415688536037,403.2609433369,-2.21622898089392,0.0439616338868393,0.235134243633278,-4.42262346609541
"S100A11",148.497809709229,216.887934843645,2.19782129454608,0.0455012628659154,0.241156693189351,-4.42556568615311
"MT-CO3",-3070.86319693052,17343.1806520497,-2.17047029673406,0.0478822529938545,0.251362632379691,-4.42993672476112
"CAPN3",-55.8643962642285,224.681292804644,-2.16592285158068,0.0482892192564758,0.251362632379691,-4.43066332847137
"SBDS",10.9594212241526,79.8872956955234,2.1300556537866,0.0516138311551636,0.266290827995224,-4.43639209670561
"IGFBP5",-15.3051644285714,81.6422358571429,-2.09982195063194,0.0545801114540786,0.278336249894199,-4.44121682314012
"CALM1",17.512506113056,92.5318058529028,2.09661964845433,0.0549033769088043,0.278336249894199,-4.44172755679121
"RPL34",89.1253202749511,269.439204719851,2.0823235754804,0.0563682521775257,0.282383872994741,-4.44400683877978
"DUSP13",-17.744361691124,118.765557628512,-2.07941646471742,0.0566705199663545,0.282383872994741,-4.44447016390499
"BIN1",52.4059411300457,415.505680945154,2.06791586272445,0.0578810296433778,0.285971527814316,-4.44630249105304
"MT-ND4",-2991.07371443999,13017.3703468768,-2.06120694872048,0.0585981561166093,0.287081722823388,-4.44737092018589
"RPL4",-27.4178870321706,270.097856434576,-2.04075103391915,0.0608355590713249,0.292733667930915,-4.45062631644208
"MACROD1",11.3090472179794,92.8439439013539,2.0367948420551,0.0612772422047273,0.292733667930915,-4.45125548278041
"MYL1",-484.326939285714,5825.11385671429,-2.02579553885491,0.0625207746391775,0.292733667930915,-4.45300395106481
"ARHGDIB",-28.8127460678433,113.117757225281,-2.02092760438031,0.0630784829209867,0.292733667930915,-4.45377738210007
"RPL27",-87.3566869014213,488.455460156723,-2.01962747047687,0.0632282067633449,0.292733667930915,-4.45398390980393
"ATF4",14.3443835958192,131.806659612757,2.01923472855513,0.0632734991216019,0.292733667930915,-4.45404629383335
"MYOZ1",-92.7349765714284,1398.31991578571,-2.0168897918988,0.0635445451523435,0.292733667930915,-4.45441873532541
"PABPC4",-10.6660700639293,119.522249713993,-2.01495709979939,0.0637687406985012,0.292733667930915,-4.45472565717222
"ACTA1",1841.79523097742,21167.4399485412,2.00679647581184,0.0647234031764463,0.293694755852121,-4.45602116285549
"RPLP0",-74.9397748789654,450.266819810627,-2.00457420283854,0.064985632083917,0.293694755852121,-4.45637382308239
"PFDN5",-36.6057657961824,155.010387963255,-1.98870446829594,0.0668867138528308,0.299961185970772,-4.45889058811108
"PSMA7",17.7812906424385,122.679051757062,1.97997969922204,0.0679534055062224,0.302418590917005,-4.46027294494737
"AES",-19.0207997636873,215.779700163577,-1.96762038593372,0.0694910449497491,0.306918781861392,-4.46222949330725
"NRAP",-73.3909780714285,759.102386535715,-1.94649496935993,0.0721928638931798,0.31645443345657,-4.46556894252811
"ALDOA",-645.302621287149,4407.030975147,-1.92528595235269,0.0750010981895614,0.325241519290738,-4.46891499445685
"MT-ND3",-1989.85482784767,8971.45768323986,-1.9229733781992,0.075313216302315,0.325241519290738,-4.46927941378962
"RPL38",-62.1014095069987,344.382826949274,-1.91696127882804,0.0761301580203905,0.326352074455056,-4.47022640427417
"CS",-8.23797328848873,125.207515800079,-1.87734556818684,0.0817166792444578,0.347743240872401,-4.47645087090649
"MT-CYB",-1802.84409132616,9037.64707507815,-1.86974904117272,0.0828292318427013,0.349923493944166,-4.47764115872364
"CD36",-13.0987761251348,96.4751210647728,-1.85771610605565,0.0846194246068388,0.354914565077604,-4.47952426814314
"ANKRD2",41.4158175005001,111.292301362254,1.82832653007416,0.0891386868956081,0.371198960429568,-4.4841110736625
"MRPS24",26.6509541967307,93.0569532056315,1.8090801406265,0.0922140409999005,0.381282169524411,-4.4871045766451
"OPTN",-8.30066912736372,147.885775128479,-1.77669664277584,0.097602446083052,0.400719901876192,-4.49212155778628
"DCN",-62.7453061415525,111.821680562304,-1.75649389413906,0.101103965286844,0.412193089246362,-4.49523801377294
"RPL10A",-46.2831101763002,245.685942826649,-1.74940259230956,0.10235912311718,0.414412283175805,-4.49632933403188
"ACAT1",10.68551137276,127.155556267932,1.73450220317439,0.105041412485306,0.421910231694586,-4.49861791942575
"HNRNPA2B1",20.3403184099821,156.951250723312,1.7311218604879,0.105658479978404,0.421910231694586,-4.49913624405131
"NDUFB1",-27.7455116198437,132.867325073404,-1.7042641019743,0.110675667012261,0.433213482055712,-4.50324262236226
"TRDN",54.1733647142858,394.677649928571,1.70405580414111,0.110715381791782,0.433213482055712,-4.50327438549003
"CTDNEP1",-10.5907147604713,110.03219914769,-1.70033965166854,0.111426018967236,0.433213482055712,-4.50384083467638
"S100A6",62.6992177470271,143.876685717671,1.70015494269114,0.111461444782773,0.433213482055712,-4.50386897860957
"PPDPF",25.8347597131421,117.265068347469,1.6843741951407,0.114524727456546,0.441619828321066,-4.50626955099948
"CD63",40.6469486108372,158.163171127493,1.68072287872045,0.115243900758358,0.441619828321066,-4.50682386876635
"NDUFB9",-39.3038266357761,332.672608972266,-1.67742524066276,0.115896798856129,0.441619828321066,-4.50732412516733
"CHCHD2",25.7907489874655,232.162169827371,1.66448030142662,0.118491060749714,0.448573301409633,-4.50928446201838
