"","GSM4008561","GSM4008562","GSM4008563","GSM4008564","GSM4008565","GSM4008566","GSM4008567","GSM4008568","GSM4008569","GSM4008570","GSM4008571","GSM4008572","GSM4008573","GSM4008574","GSM4008575","GSM4008576","GSM4008577","GSM4008578","GSM4008579","GSM4008580","GSM4008581","GSM4008582","GSM4008583","GSM4008584","GSM4008585","GSM4008586","GSM4008587","GSM4008588","GSM4008590","GSM4008591","GSM4008592","GSM4008593","GSM4008594","GSM4008595","GSM4008596","GSM4008597","GSM4008598","GSM4008599","GSM4008600","GSM4008601","GSM4008602","GSM4008603","GSM4008604","GSM4008605","GSM4008606","GSM4008607","GSM4008608","GSM4008609","GSM4008610","GSM4008611","GSM4008612","GSM4008613","GSM4008614","GSM4008615","GSM4008616","GSM4008617","GSM4008618"
"HLA-C",1671.80557490893,452.751788424219,275.538117764388,190.045217857661,369.942537692645,7.87147542289449,131.146898731055,242.407784150811,-0.660827678019757,407.669748924869,277.832615560096,437.764415473184,195.46632785996,208.106150245566,111.207111817098,460.390800854759,223.559908094513,205.866050510878,156.5026904393,316.946028745464,410.782097594217,127.254833022218,805.850275144217,201.412687878198,-13.1860243459558,34.4046212336577,382.988241362323,123.159887036981,1606.86074055155,169.557086760452,184.822210622917,82.8597716992941,292.490443884659,130.690103345485,240.072651658921,308.869106749522,167.823023522371,258.815646735811,468.648578293899,516.503884065755,130.514956766648,184.109706406444,199.039749251318,695.184198199527,286.388150806918,221.49147097914,84.0348319076724,375.835068811568,351.79845595402,155.840617399243,1029.36669917935,211.144766603293,123.186206453948,40.7368728870376,244.695848694535,64.3626717257487,476.062495894268
"RPS5",320.258050165578,664.453357056069,255.545377566998,326.796682911616,438.792233315489,318.067083279765,250.442209154453,280.650776697799,215.774660994962,456.540226891506,71.8473978340148,386.358024995452,266.101838516162,260.325163193609,114.706420296232,309.74164621591,237.13672802195,329.429987721607,281.1682494741,258.533207118493,258.128263061541,470.005330937104,329.899125785284,264.177757696422,331.36677532417,254.307218330138,133.585279607046,369.680348831428,183.112237094956,241.86707878158,287.222808612658,343.429726951473,184.809724053537,231.867455269695,76.6739001876183,343.628509669218,277.440778561203,361.370945568915,293.487639494719,411.624058043265,286.956502972851,252.111852723716,340.261494847263,316.710025809195,228.394393155009,170.034539128409,220.893140521245,321.068283500333,237.135252297657,395.602058701397,203.89567224749,246.065021221106,339.192306041895,274.6041481547,410.866267928612,351.593835862981,261.633829047019
"CNBP",311.174810214279,334.553051384,285.616252544457,320.65980496286,232.420376165338,265.596082052209,307.529255893154,330.638183588295,298.34663481293,291.026691027721,340.222554242116,292.446310264415,336.181672972408,340.407339311768,309.274674694084,316.600667033789,258.621843572189,263.327915919926,258.266988314746,241.337839629564,353.449245921605,238.425245855609,318.274511513436,362.67258086579,322.599862240081,299.036043893773,275.704454867385,251.844025268497,375.744665380386,290.730167706939,264.687091415304,323.194117583492,267.923064466794,273.093289134583,271.86228216301,331.751733138107,436.991334287227,346.428244302375,337.442242326154,259.312769836923,302.911847627859,319.014356687935,336.661265251278,308.395179409375,349.973102299786,385.032183329558,257.219908717419,228.951270691119,405.141810011182,330.117876724711,315.96780891032,316.716034273466,337.941652414177,300.000947622143,293.606930714729,294.604938602774,391.733016623383
"FLNC",412.043089057516,-71.3507818285572,228.820438567901,270.483145062071,424.615477350791,198.486846173098,260.208001800085,315.86090031299,172.484754346883,66.8032638839844,160.019084306388,336.850464467745,203.270708934796,108.556346892854,279.725449642319,217.485744315868,284.326174759842,465.463575938711,238.313333801023,359.21024984492,663.352092686882,496.479368481942,240.401815247142,294.00388149032,303.102523624438,373.865300584933,134.829543222788,124.893427461917,532.347183704798,185.141996787686,277.791742793082,744.045988889085,396.161365896405,165.279172744584,319.970909077968,445.974021155075,76.903498156332,228.392533122599,462.186396772844,418.06235177629,329.556503802702,383.273137495109,214.715326608416,290.128707199823,318.395716925055,302.849698599077,197.423677811043,258.306331229461,790.693033363909,426.85914559699,332.220700212634,490.282640728453,430.554915186312,477.643005528077,238.126992914225,130.746044516885,317.080517125108
"TRDN",379.338867,282.071442,414.941193,338.38028,268.645508,289.469818,295.630371,504.956604,237.054581,313.914856,567.651611,257.545624,542.563721,454.10907,464.57785,357.562897,63.896713,86.748245,381.172455,428.373749,523.469543,94.78009,423.26709,370.589722,416.520264,562.060364,383.736755,393.07254,517.74939,411.341522,397.293579,259.938568,509.768127,342.079681,279.628204,439.535889,451.943817,484.126678,466.667877,449.750641,481.262848,413.613831,530.27533,392.215698,445.558197,472.130554,433.910767,424.857635,659.330383,396.477692,413.083252,425.97464,408.855164,349.008667,409.926666,507.707672,422.882294
"PGM1",338.2880347746,292.409160041132,166.159413552462,363.875574049082,345.786231641093,273.550364825584,295.607644683575,261.4593283648,316.841222593441,357.602268827167,259.757775597614,316.632444871334,357.103059026123,369.234307968884,268.450964140382,303.047269916453,270.405031807193,343.69556294901,299.080029994326,296.305155120071,453.191817920937,418.188468663702,264.94930881619,363.804361902513,302.518125270712,311.455846378488,296.864733778895,326.744602380828,327.110137504012,318.762261225497,216.723625525841,382.549771782255,271.653506433259,245.972936558265,248.720505396001,222.044907648208,358.260698084708,291.045437461857,309.543720844806,291.279393760465,369.780948575519,233.223070851299,265.628027415786,331.448931996903,223.051078528804,240.844166679876,256.894161009163,337.547617654713,353.525436377053,416.364650158955,250.809544706563,316.637001690153,226.142163496516,367.420201449905,293.745742246758,303.95834703987,276.236600255276
"EEF1A1",81.3435289693126,107.14823150537,237.308268739839,188.578276505074,371.728609549443,125.364042881507,402.014933889278,50.7348225648377,147.125921959744,419.996427604431,378.674819575177,409.976295431031,145.224996067376,251.575145733277,473.182949266898,446.65118500839,-12.7475002420074,108.469313282194,281.307451239322,293.685996745908,359.594854540279,163.721953920106,-114.214241495064,37.9032063385114,206.735744731612,204.920896682766,190.79277030692,-2.45287560411668,689.020316356872,353.448630352244,185.22939900512,19.0834806813098,349.812241668468,310.482497696989,384.906832301862,14.2859379550805,453.974745024833,576.147884740665,123.41462949225,269.099672756388,137.298119666607,605.922718063195,150.351922036197,463.143182936046,170.889231443591,599.104168634878,319.80903107837,217.3098957388,272.446042947433,141.687916103362,-83.9292865316327,2.45840251159359,232.238567275104,417.626885677091,14.4462707162746,37.1910148865881,38.7274552116472
"ATP5I",167.126855781823,681.478655292352,289.427386253414,253.785188864749,195.943270263113,263.706339743889,199.161746771826,177.313008405796,217.868485107932,610.064306041307,152.610574502396,360.543607635976,300.347010369147,277.441780961681,282.30169094589,381.710920533212,210.475964887229,209.817199831349,295.009418204586,331.972333231125,200.35558396685,230.68424776873,350.662286344494,266.059948655999,262.241053308031,337.137960776676,311.20712916785,199.475737412307,236.641639897231,476.429695785918,279.179586391455,252.480297776986,145.04142911314,412.142956772858,319.189991298664,253.710187824183,204.561278364267,266.145212564733,276.469172567662,285.809544115031,220.296266786777,353.936974393254,321.465612071873,224.35807577249,195.996497119617,253.380926035868,303.807883750008,423.676597424469,181.476697487503,253.220586228001,223.25339030214,167.506395964987,193.220992563718,231.342423615238,227.746507792845,256.698648101947,297.595475043702
"RPS6",220.833030717563,553.677698125213,255.200660984425,371.588189206094,303.473385439484,268.282976130074,263.379666667056,269.505665273109,203.188720397177,362.287503443216,538.828746413768,396.950344694339,358.75962449883,334.21086413542,323.514888657223,430.72942485615,40.9780057031226,173.577085950884,293.82162575608,272.1209805838,233.828260602066,203.23468728104,203.597057237879,226.649961629595,359.813188429001,232.89945626045,272.566718911595,215.407580929406,316.146547459882,313.165004409212,192.11986390083,396.384556628013,285.155045485246,231.209190382452,287.221430682835,284.189521757324,367.402657755935,407.490644645356,459.877033964366,249.889084008981,275.994883666491,231.489524860366,277.659146967926,341.094701316298,140.266503919197,181.104242575421,290.75122174582,281.814509435731,190.993579081171,302.564509622832,156.724296565829,162.259938058845,298.112464622183,256.647615920674,302.096727139435,344.218204077338,246.250639881601
"RPS9",258.399150073296,418.366264093632,241.067223160359,464.987243856887,573.195234466341,360.638446744397,233.344702447466,324.63861687491,199.770723949614,365.662060556988,167.940822069144,376.835520808328,323.283173750344,247.093804502666,276.337805696038,376.496154496621,271.219246724339,223.045678419713,255.24720598084,262.450302026165,237.63380016015,502.370719193301,170.686577784357,261.451079640716,253.786561370339,175.853000466718,255.842934447791,392.43320306624,144.177178678595,154.406844679645,289.75861837476,391.977591566731,393.221628792299,227.726139873729,219.846105806543,299.88803721724,257.068090010861,438.929202380286,416.737456114489,256.358419683743,337.30802323654,181.796222311228,353.518515909523,301.155711032499,225.101698712244,156.830630470005,187.635331701514,335.28375614329,285.877815523192,361.6446915949,219.062946290171,203.128433681721,237.825835308429,188.254502470807,281.634863611991,350.074678084914,237.292948572798
